brand,nome,old_price_reais,old_prices_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
NEW BALANCE,Tênis New Balance 411v3 Masculino Academia Original Pro,324,99,279,49,4.9,(7)
OLYMPIKUS,Tenis Olympikus Dynamic Masculino Esportivo Original,324,99,279,49,5.0,(34)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,324,99,279,49,4.6,(677)
NEW BALANCE,Tênis Running Masculino New Balance Cinza,324,99,279,49,,
NEW BALANCE,Tênis Running Masculino New Balance Cinza,324,99,279,49,,
PUMA,Tênis Running Masculino Puma Original Scend Pro,324,99,279,49,,
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,324,99,279,49,4.8,(1723)
MIZUNO,Tênis Casual Masculino Mizuno Street Wind,324,99,279,49,,
MIZUNO,Tênis Running Masculino Original Mizuno Space 4,324,99,279,49,,
OLYMPIKUS,Tenis Masculino Corrida Olimpicos Soma Amortecedor Impacto,324,99,279,49,4.7,(230)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,324,99,279,49,4.4,(380)
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,324,99,279,49,4.4,(234)
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,324,99,279,49,4.8,(7057)
NIKE,Nike Court Vision Low Next Nature Masculino Adultos,324,99,279,49,4.5,(132)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos 43769946,324,99,279,49,4.8,(9222)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,324,99,279,49,4.7,(68)
OLYMPIKUS,Olympikus CORRIDA Veloz 2 Masculino Adultos,324,99,279,49,4.8,(266)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,324,99,279,49,4.5,(10556)
OLYMPIKUS,Tênis Masculino E Feminino Dynamic Olympikus Super Novo,324,99,279,49,4.9,(238)
OLYMPIKUS,Tênis Masculino Neblina Olympikus Novo,324,99,279,49,4.5,(170)
NEW BALANCE,Tênis New Balance 411v3 Masculino Academia Original Pro,324,99,279,49,4.9,(7)
ADIDAS,Tênis Masculino E Feminino Runfalcon 3.0 adidas,324,99,279,49,5.0,(3)
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,324,99,279,49,4.8,(2991)
NIKE,Tênis Nike Flex Experience 12 Masculino,324,99,279,49,4.5,(11)
OLYMPIKUS,Olympikus Corre 3 Masculino Adultos,324,99,279,49,4.5,(125)
ASCENSION,Tênis Lege 21 Masculino Esportivo Leve Confortável Oferta,324,99,279,49,,
FILA,Tênis Fila Racer Carbon 2 Unissex Original + Kit De Meia,324,99,279,49,,
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,324,99,279,49,4.5,(6820)
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,324,99,279,49,4.5,(5271)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,324,99,279,49,4.1,(6975)
UNDER ARMOUR,Tênis Under Armour Charged Quicker Branco,324,99,279,49,5.0,(1)
MIZUNO,Tênis Feminino Ou Masculino Academia Promoção Pronta Entrega,324,99,279,49,4.3,(1679)
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Laranja E Azul,324,99,279,49,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,324,99,279,49,4.2,(2458)
ADIDAS,Tênis adidas Racer Tr23 Marinho,324,99,279,49,,
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,324,99,279,49,4.7,(2455)
,Tenis Feminino Casual Nyc Shoes Masculino Moda Adulto,324,99,279,49,4.5,(4376)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,324,99,279,49,4.6,(677)
FILA,Tênis Masculino Fila Euro Jogger Esportivo Original,324,99,279,49,,
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,324,99,279,49,4.6,(1921)
,Kit Tenis Masculino + Carteira + Cinto + Relógio Analógico,324,99,279,49,,
OLYMPIKUS,Olympikus Corre Grafeno 2 Sem gênero Adultos,324,99,279,49,,
FILA,Tênis Masculino Fila Fitnes Treino Academia Caminhada Efecto,324,99,279,49,4.7,(22)
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,324,99,279,49,4.5,(1687)
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,324,99,279,49,4.6,(893)
UNDER ARMOUR,Tênis Masculino Charged Great Under Armour,324,99,279,49,4.9,(21)
OLYMPIKUS,Tênis Masculino Corre Trilha Olympikus Novo,324,99,279,49,4.8,(90)
OLYMPIKUS,Olympikus Corre 3 Sem gênero Adultos,324,99,279,49,4.8,(58)
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,324,99,279,49,4.6,(230)
MIZUNO,Tenis Masculino Feminino Nirvana 9 Promoção Esportivo,324,99,279,49,4.6,(31)
ASCENSION,Tênis Masculino Lege 21 Confortável Esportivo Oferta,324,99,279,49,,
FILA,Fila Float ACER Masculino Adultos 1104585,324,99,279,49,4.6,(19)
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,324,99,279,49,4.4,(234)
OLYMPIKUS,Olympikus Voa 2 Feminino Adultos,324,99,279,49,4.8,(146)
